state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
MD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,11,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_CABG,Rate of readmission for CABG,0,11,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,43,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,41,1,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,30,0,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,41,1,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,1,2,0,30
ME,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,13,5,10
ME,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,7,14,10,3
ME,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,33,1,0,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,15,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,14,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,14,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,14,0,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,1,25,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,22,0,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,23,1,10,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,4,0,20,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,30,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,14,14,19,57
MI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,22,48,27,25
MI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,23,52,31,18
MI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),8,109,2,9,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,102,0,14,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,60,0,50,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,60,0,50,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,88,1,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,51,1,52,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_CABG,Rate of readmission for CABG,1,29,0,6,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,87,0,35,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,93,1,25,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,46,0,51,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,105,1,18,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,9,5,73
MN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,20,31,10,63
MN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,21,46,10,47
MN,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,99,5,19,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,71,0,16,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,39,0,69,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,39,0,69,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,47,1,32,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,19,1,70,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_CABG,Rate of readmission for CABG,0,13,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,32,0,90,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,60,1,63,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,0,40,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,77,0,47,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,27,14,40
MO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,19,32,26,28
MO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,23,49,25,8
MO,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),3,97,2,2,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,82,0,9,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,41,0,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,43,1,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,64,1,16,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,49,0,36,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_CABG,Rate of readmission for CABG,0,24,0,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,70,0,34,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,75,2,28,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,43,0,32,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,96,0,8,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
MP,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,1,11,9,32
MS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,10,19,25,36
MS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,32,31,22
MS,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),3,76,0,9,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,45,0,8,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,14,0,29,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,15,0,29,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,33,0,13,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,30,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,43,0,45,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,53,0,36,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,15,0,14,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,68,0,22,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,4,2,22
MT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,11,2,37
MT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,12,13,3,33
MT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,38,1,21,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,14,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,18,0,18,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,17,0,18,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,0,13,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,21,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,17,0,37,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,20,1,37,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,13,0,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,28,0,33,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,7,24,6,56
NC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,23,39,33,11
NC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,21,46,33,6
NC,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,95,9,2,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,90,0,2,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,45,2,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,47,0,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,77,3,12,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,49,1,43,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_CABG,Rate of readmission for CABG,0,20,0,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,84,0,22,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,90,4,11,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,48,1,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,100,0,6,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,2,1,23
ND,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,6,4,28
ND,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,14,5,17
ND,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,35,1,8,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,14,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,6,1,11,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,23,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_CABG,Rate of readmission for CABG,0,6,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,13,0,28,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,16,0,28,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,27,0,17,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,6,0,45
NE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,7,23,6,44
NE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,15,34,12,23
NE,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,79,1,9,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,15,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,59,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,13,0,59,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,26,1,41,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,18,0,39,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,24,0,57,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,36,0,44,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,17,0,32,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,61,0,23,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,1,7,2,14
NH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,2,17,4,3
NH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,9,10,1
NH,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,26,0,0,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,14,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,15,0,8,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,16,0,5,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,13,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_CABG,Rate of readmission for CABG,0,4,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,21,0,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,23,0,3,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
