facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
ADVANCED SURGICAL CENTER OF SUNSET HILLS LLC,26C0001161,1730698374,SAINT LOUIS,MO,63127,2024,0.000,,0.109,,0.000,,0.109,,,5,,5,,,,,,5,100.00,,,5,49,No Different Than the National Rate,2.4,1.5,3.9,,,,,,,5,,Number of Cases Too Small,,,,1
TEXAS HELATH SURGERY CENTER WAXAHACHIE,45C0001730,1730702523,WAXAHACHIE,TX,75165,2024,,5,,5,,5,,5,,5,,5,104,No Different Than the National Rate,9.9,7.1,13.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
FLORIDA SPRINGS SURGERY CENTER LLC,10C0001671,1730713439,SPRING HILL,FL,34606,2024,0.000,,0.095,,0.047,,0.426,,,5,,5,,,,,,5,0.00,,,5,410,No Different Than the National Rate,3.1,2.2,4.5,,,,,,,5,,Number of Cases Too Small,,,,1
ORTHOARIZONA SCOTTSDALE ASC LLC DBA ORTHOARIZONA SCOTTSDALE SURGERY CENTER,03C0001438,1730783523,SCOTTSDALE,AZ,85258,2024,0.000,,0.029,,0.043,,0.186,,,5,,5,,,,,,5,100.00,,,5,1071,No Different Than the National Rate,1.9,1.4,2.7,,,,,,,5,36,No Different than expected,0.9,0.5,1.7,
ZEO SURGICAL CENTER LLC DBA LENZA SURGICAL CENTER,45C0451247,1730789231,SAN ANTONIO,TX,78229,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.572,,,,,,,5,,,,,,5,,,,,,5
HERITAGE DEVELOPMENT PARTNERS LLC DBA ORTHOPAEDIC SURGERY CENTER,18C0001056,1730834730,EDGEWOOD,KY,41017,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,438,No Different Than the National Rate,2.4,1.7,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
LOMA LINDA SURGICAL INSTITUTE LLC,55C0001155,1730834904,LOMA LINDA,CA,92354,2024,0.016,,0.016,,0.000,,0.148,,100.00,,,5,,Number of Cases Too Small,,,,1,100.00,,0.499,,48,No Different Than the National Rate,2.4,1.6,3.7,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
JASPER SURGERY CENTER LLC,11C0001543,1730842311,JASPER,GA,30143,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
VOLUSIA ASC BZ LLC DBA ADVANCED HEART AND VASCULAR SURGERY CENTER AT DELTONA,10C0001715,1730843830,DELTONA,FL,32725,2024,0.000,,0.000,,0.000,,0.270,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
MINERAL SURGERY CENTER LLC,06C0001209,1730875840,LITTLETON,CO,80120,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
MEDICAL CITY SURGERY CENTER NORTH TEXAS LLC,45C0001716,1730876210,ANNA,TX,75409,2024,0.000,,0.010,,0.000,,0.068,,98.96,,,5,235,No Different Than the National Rate,11.2,8.2,15.6,,97.48,,0.686,,65,No Different Than the National Rate,2.3,1.5,3.7,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
TALLAHASSEE ENDOSCOPY CENTER,10C0001141,1740201607,TALLAHASSEE,FL,32308,2024,,5,,5,,5,,5,90.70,,,5,2488,No Different Than the National Rate,12,9.4,15.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
SOUTH CAROLINA ENDOSCOPY CENTER,42C0001026,1740210459,WEST COLUMBIA,SC,29169,2024,0.000,,0.000,,0.000,,0.023,,91.24,,,5,5528,No Different Than the National Rate,8.8,7.1,11,,,5,,5,,,,,,5,,,,,,5,,,,,,5
SARASOTA AMBULATORY SURGERY CENTER,10C0001356,1740230523,SARASOTA,FL,34231,2024,0.023,,0.046,,0.000,,0.116,,100.00,,,5,,,,,,5,100.00,,,5,291,No Different Than the National Rate,2.3,1.6,3.3,,,,,,,5,39,No Different than expected,1,0.6,1.9,
STONEGATE SURGERY CENTER LP,45C0001430,1740231489,AUSTIN,TX,78745,2024,0.000,,0.022,,0.022,,0.067,,100.00,,,5,246,No Different Than the National Rate,9.6,6.9,13.5,,99.54,,,5,176,No Different Than the National Rate,2.3,1.5,3.6,,,,,,,5,,Number of Cases Too Small,,,,1
PRINCESS ANNE AMBULATORY SURGERY MANAGEMENT LLC,49C0001045,1740236454,VIRGINIA BEACH,VA,23456,2024,,5,,5,,5,0.053,,,5,,5,,,,,,5,0.05,,,5,1010,No Different Than the National Rate,2.8,2,3.8,,,Number of Cases Too Small,,,,1,165,No Different than expected,1.2,0.7,2,
CHEYENNE SKIN CLINIC,53C0001009,1740241595,CHEYENNE,WY,82009,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,2691,No Different than expected,0.7,0.5,1,
PREMIER SURGERY CENTER OF LOUISVILLE LP DBA PREMIER SURGERY CENTER OF LOUISVILLE,18C0001003,1740246792,LOUISVILLE,KY,40245,2024,,5,,5,,5,0.035,,85.85,,,5,890,No Different Than the National Rate,10.7,7.9,14.4,,99.83,,0.064,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
NORTH FLORIDA GI CENTER DBA NORTH FLORIDA ENDOSCOPY CENTER,10C0001314,1740251909,GAINESVILLE,FL,32605,2024,,5,0.047,,0.000,,0.104,,95.63,,,5,4908,No Different Than the National Rate,8.7,7,10.9,,,5,,5,,,,,,5,,,,,,5,34,No Different than expected,1,0.5,1.8,
DIGESTIVE HEALTH CENTER,29C0001026,1740254572,RENO,NV,89511,2024,0.000,,0.016,,0.000,,0.098,,73.24,,,5,4127,No Different Than the National Rate,9.4,7.5,11.9,,,5,,5,,,,,,5,,,,,,5,78,No Different than expected,1,0.5,1.7,
STARK AMBULATORY SURGERY CENTER LLC,36C0001196,1740260926,CANTON,OH,44718,2024,0.000,,0.000,,0.013,,0.026,,83.33,,,5,1383,No Different Than the National Rate,10,7.6,13.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
MAGNOLIA ENDOSCOPY CENTER LLC,25C0001043,1740264274,CORINTH,MS,38834,2024,0.000,,0.000,,0.000,,0.154,,82.32,,,5,876,No Different Than the National Rate,12,9.2,16.1,,,5,,5,,,,,,5,,,,,,5,,,,,,5
EYES OF YORK SURGICAL CENTER LLC,39C0001199,1740264811,YORK,PA,17408,2024,0.000,,0.000,,0.000,,0.152,,,5,,5,,,,,,5,,5,0.247,,,,,,,5,,,,,,5,,,,,,5
TRANSSOUTH HEALTH CARE PC DBA DDC SURGERY CENTER,44C0001059,1740277821,JACKSON,TN,38305,2024,0.000,,0.000,,0.000,,0.234,,78.95,,,5,384,No Different Than the National Rate,10.5,7.5,14.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
ARIZONA OUTPATIENT SURGERY CENTER,03C0001092,1740287168,PHOENIX,AZ,85016,2024,,5,,5,,5,,5,,5,,5,179,No Different Than the National Rate,10.1,7.2,14.2,,,5,,5,,,,,,5,,,,,,5,45,No Different than expected,1.1,0.6,1.9,
GULF COAST SURGICAL PARTNERS LLC,01C0001042,1740288679,MOBILE,AL,36608,2024,0.000,,0.030,,0.000,,0.106,,,5,,5,,,,,,5,95.09,,,5,380,No Different Than the National Rate,2.6,1.8,3.8,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
KOOTENAI OUTPATIENT SURGERY,13C0001037,1740289024,COEUR D ALENE,ID,83814,2024,0.000,,0.030,,0.000,,0.208,,,5,,5,,,,,,5,95.24,,,5,162,No Different Than the National Rate,2.7,1.7,4,,158,No Different Than the National Rate,6.5,4.4,9.4,,167,No Different than expected,0.9,0.6,1.6,
PEACH STATE SURGICAL CENTERS INC,11C0001301,1740312040,PERRY,GA,31069,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
PLAZA SURGERY CENTER,05C0001620,1740318153,SANTA MARIA,CA,93454,2024,0.047,,0.000,,0.000,,0.094,,,5,,5,,,,,,5,100.00,,,5,160,No Different Than the National Rate,2.8,1.8,4.4,,189,No Different Than the National Rate,6.5,4.5,9.1,,47,No Different than expected,1.4,0.8,2.4,
ENDOSCOPY CONSULTANTS LLC,11C0001223,1740328947,ATLANTA,GA,30342,2024,,5,,5,,5,,5,,5,,5,456,No Different Than the National Rate,9.8,7,13.3,,,5,,5,,,,,,5,,,,,,5,,,,,,5
DIAGNOSTIC AND INTERVENTIONAL SURGICAL CENTER,05C0002291,1740337435,MARINA DEL REY,CA,90292,2024,0.000,,0.000,,0.000,,0.073,,,5,,5,,,,,,5,37.46,,,5,52,No Different Than the National Rate,2.3,1.5,3.7,,,,,,,5,,Number of Cases Too Small,,,,1
GULF COAST OUTPATIENT SURGERY CENTER LLC DBA GULF COAST OUTPATIENT SURGERY CENTER,25C0001044,1740385632,BILOXI,MS,39531,2024,,5,0.064,,,5,0.064,,,5,,5,,Number of Cases Too Small,,,,1,100.00,,0.246,,53,No Different Than the National Rate,2.4,1.5,3.8,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
ANNE ARUNDEL DIGESTIVE CENTER,21C0001208,1740387257,PASADENA,MD,21122,2024,0.000,,0.000,,0.000,,0.175,,68.18,,,5,1545,No Different Than the National Rate,9.2,6.9,12.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
YAMHILL VALLEY SURGICAL CENTER INC,38C0001042,1740394741,MCMINNVILLE,OR,97128,2024,,5,,5,,5,,5,,5,,5,372,No Different Than the National Rate,10.8,7.9,14.7,,,5,,5,,,,,,5,,,,,,5,,,,,,5
HARRISON SURGERY CENTER LLC,04C0001067,1740398445,MOUNTAIN HOME,AR,72653,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,,,,,5
EASTSIDE PODIATRY ASC,50C0001073,1740408293,BELLEVUE,WA,98004,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
ATLANTIC SURGERY AND LASER CENTER LLC,10C0001544,1740413400,MELBOURNE,FL,32940,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.067,,,,,,,5,,,,,,5,,,,,,5
GASTRO CARE LLC,36C0001257,1740424944,SPRINGFIELD,OH,45503,2024,,5,,5,,5,0.102,,98.34,,,5,563,No Different Than the National Rate,9.9,7.3,13.7,,,5,,5,,,,,,5,,,,,,5,,,,,,5
TREVOSE SPECIALTY CARE SURGICAL CENTER LLC,39C0001272,1740448711,TREVOSE,PA,19053,2024,0.000,,0.036,,0.000,,0.000,,100.00,,,5,298,No Different Than the National Rate,10.5,7.7,14.7,,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
MEADOW LAKE SURGERY CENTER INC,13C0001063,1740479476,MERIDIAN,ID,83642,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
PV PENINSULA PLASTIC SURGERY CENTER,05C0001800,1740491422,TORRANCE,CA,90505,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,80,No Different than expected,1,0.6,1.8,
KEARNEY EYE SURGICAL CENTER INC,28C0001047,1740492529,KEARNEY,NE,68845,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.117,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ROPER ST FRANCIS EYE CENTER,42C0001082,1740562677,CHARLESTON,SC,29407,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.308,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SURGERY AFFILIATES LLC,06C0001142,1740629245,COLORADO SPRINGS,CO,80909,2024,0.000,,0.000,,0.000,,0.054,,,5,,5,,,,,,5,100.00,,0.383,,,,,,,5,,,,,,5,56,No Different than expected,1,0.6,1.9,
UC REGENTS DBA UCLA HEALTH PAIN MANAGEMENT SANTA CLARITA,05C0002131,1740634369,SANTA CLARITA,CA,91354,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
BALTIMORE COLUMBIA SURGERY CENTER LLC,21C0001584,1740647353,ELLICOTT CITY,MD,21042,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,43,No Different than expected,0.9,0.5,1.7,
MANCHESTER AMBULATORY SURGERY CENTER LP DBA DES PERES SQUARE SURGERY CENTER,26C0001061,1740673953,SAINT LOUIS,MO,63131,2024,,5,,5,,5,0.068,,85.53,,,5,379,No Different Than the National Rate,10.4,7.5,14.3,,100.00,,,5,432,No Different Than the National Rate,2.4,1.7,3.5,,,,,,,5,34,No Different than expected,0.9,0.5,1.7,
SURGCENTER OF GREATER PHOENIX LLC,03C0001363,1740681733,SCOTTSDALE,AZ,85255,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,156,No Different Than the National Rate,3.1,2,4.6,,,,,,,5,,Number of Cases Too Small,,,,1
INNOVATIVE SURGERY CENTER LLC,05C0002098,1740692730,SAN DIEGO,CA,92121,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
TOTAL VASCULAR CARE,45C0001629,1740700111,SAN ANTONIO,TX,78207,2024,0.000,,0.000,,0.000,,0.829,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
FORT LAUDERDALE HEART   RHYTHM SURGERY CENTER,10C0001647,1740771708,FORT LAUDERDALE,FL,33308,2024,,5,0.283,,,5,0.283,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
TAKLE EYE SURGERY CENTER,11C0001515,1740776517,LOCUST GROVE,GA,30248,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.176,,,,,,,5,,,,,,5,,,,,,5
ORO VALLEY SURGICAL SUITES LLC,03C0001393,1740778554,ORO VALLEY,AZ,85704,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,528,No Different Than the National Rate,2,1.4,2.9,,,,,,,5,,Number of Cases Too Small,,,,1
GASTROINTESTINAL ENDOSCOPY CENTER LLC,39C0001344,1740785096,CHALFONT,PA,18914,2024,0.000,,0.000,,0.000,,0.011,,88.71,,,5,1457,No Different Than the National Rate,8,5.9,10.7,,,5,,5,,,,,,5,,,,,,5,,,,,,5
CLEVELAND CLINIC CORAL SPRINGS AMBULATORY SURGERY CENTER,10C0001630,1740787068,CORAL SPRINGS,FL,33067,2024,0.011,,0.091,,0.000,,0.079,,68.39,,,5,1066,No Different Than the National Rate,10.5,7.8,13.8,,92.99,,,5,341,No Different Than the National Rate,2.5,1.7,3.6,,144,No Different Than the National Rate,4.2,2.6,6.4,,92,No Different than expected,1.1,0.6,1.9,
EPIC SURGERY CENTER,17C0001083,1740794973,LEAWOOD,KS,66211,2024,0.000,,0.023,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.524,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
KING OF PRUSSIA SURGERY CENTER LLC,39C0001359,1740823848,KING OF PRUSSIA,PA,19406,2024,,5,,5,,5,0.036,,,5,,5,,,,,,5,79.88,,,5,693,No Different Than the National Rate,2.2,1.5,3.2,,,,,,,5,33,No Different than expected,1.1,0.6,1.9,
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,05C0002131,1740831437,VALENCIA,CA,91355,2024,,5,,5,,5,,5,,5,,5,281,No Different Than the National Rate,9.2,6.7,12.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
OCR FORT COLLINS ASC AND CCC DBA OCR FORT COLLINS SURGERY CENTER,06C0001022,1740862606,FORT COLLINS,CO,80525,2024,,5,,5,,5,,5,,5,,5,,,,,,5,100.00,,,5,609,No Different Than the National Rate,2.4,1.7,3.4,,,,,,,5,,Number of Cases Too Small,,,,1
DOCTORS OUTPATIENT CENTER FOR SURGERY,55C0001107,1740874031,CITRUS HEIGHTS,CA,95621,2024,,5,,5,,5,0.084,,89.96,,,5,532,No Different Than the National Rate,9.6,7,13.3,,,5,,5,123,No Different Than the National Rate,2.7,1.7,4.3,,,,,,,5,40,No Different than expected,1,0.5,1.8,
FRESENIUS VASCULAR CARE DAYTON ASC LLC,36C0001349,1740876671,DAYTON,OH,45439,2024,,5,0.051,,,5,0.102,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
PENINSULA SURGERY CENTER LLC,55C0001105,1740891571,REDWOOD CITY,CA,94065,2024,0.000,,0.000,,0.000,,0.482,,,5,,5,,,,,,5,97.77,,,5,677,No Different Than the National Rate,2.3,1.7,3.2,,,,,,,5,,,,,,5
CARDIAC SURGERY CENTER OF ARIZONA LLC,03C0001473,1740901396,GLENDALE,AZ,85308,2024,0.000,,0.000,,0.000,,0.257,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
ORTHOMIDWEST SURGERY CENTER BELOIT LLC,52C0001149,1740918887,BELOIT,WI,53511,2024,0.000,,0.000,,0.000,,0.061,,,5,,5,,,,,,5,96.96,,,5,341,No Different Than the National Rate,1.8,1.2,2.6,,,,,,,5,,,,,,5
ADVANCED AMBULATORY SURGERY CENTER LLC,17C0001900,1740944487,WICHITA,KS,67220,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
PACIFIC CARDIOVASCULAR CENTER LLC DBA PACIFIC CARDIOVASCULAR SURGERY CENTER,38C0001122,1740946128,SALEM,OR,97301,2024,0.000,,0.000,,0.000,,0.787,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
DUKE HEALTH INTEGRATED PRACTICE INC DBA DUKE GI AT BRIER CREEK,34C0001159,1740978386,RALEIGH,NC,27617,2024,,5,,5,,5,,5,90.81,,,5,751,No Different Than the National Rate,10.3,7.5,14.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
SYOSSET SASC DBA ORTHOPEDIC SPINE AND SPORTS MEDICINE SURGICAL INSTITUTE,33C0001225,1740999085,SYOSSET,NY,11791,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
COMPREHENSIVE SURGICAL CARE OF YUMA,03C0001475,1750027371,YUMA,AZ,85364,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
GLACIER SURGICAL INC,27C0001102,1750036174,KALISPELL,MT,59901,2024,0.000,,0.020,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,0.202,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
MEADOWS SURGERY CENTER,31C0001213,1750303855,RUTHERFORD,NJ,07070,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,100.00,,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
SURGICAL SPECIALTIES OF ARROYO GRANDE INC DBA OAK PARK SURGERY CENTER,05C0001577,1750308763,ARROYO GRANDE,CA,93420,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,360,No Different Than the National Rate,1.9,1.3,2.8,,,,,,,5,,Number of Cases Too Small,,,,1
CENTRAL ARIZONA ENDOSCOPY,03C0001303,1750312435,MESA,AZ,85203,2024,,5,,5,,5,0.084,,91.38,,,5,1166,No Different Than the National Rate,9,6.8,12,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
ADVANCED EYE CARE SURGERY CENTER,36C0001213,1750312534,MANSFIELD,OH,44906,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
AMBULATORY SURGICAL CARE LLC,10C0001143,1750313144,MERRITT ISLAND,FL,32953,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.000,,,,,,,5,,,,,,5,,,,,,5
EYE HEALTH ASSOCIATES INC,33C0001004,1750331435,WILLIAMSVILLE,NY,14221,2024,,5,,5,,5,0.204,,,5,,5,,,,,,5,,5,0.068,,,,,,,5,,,,,,5,,,,,,5
ARMENIA AMBULATORY SURGERY CENTER DBA MEDICAL VILLAGE SURGICAL CENTER,10C0001323,1750331500,TAMPA,FL,33603,2024,0.000,,0.034,,0.000,,0.117,,,5,,5,,,,,,5,100.00,,0.214,,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,7
NORTH PINELLAS SURGERY CENTER,10C0001366,1750333746,DUNEDIN,FL,34698,2024,,5,0.010,,0.000,,0.254,,100.00,,,5,3191,No Different Than the National Rate,10.5,8.4,13.3,,,5,,5,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
LEXINGTON SURGERY CENTER,18C0001000,1750343083,LEXINGTON,KY,40504,2024,0.010,,0.010,,0.000,,0.097,,84.08,,,5,180,No Different Than the National Rate,10.6,7.6,14.9,,100.00,,0.131,,108,No Different Than the National Rate,2.4,1.5,3.8,,,,,,,5,68,No Different than expected,1.2,0.7,2.1,
BAYLOR SURGICARE AT NORTH DALLAS LLC DBA BAYLOR SCOTT AND WHITE SURGICARE NORTH DALLAS,45C0001133,1750347472,DALLAS,TX,75251,2024,0.000,,0.017,,0.017,,0.116,,100.00,,,5,227,No Different Than the National Rate,10.2,7.3,14.3,,100.00,,0.000,,166,No Different Than the National Rate,2.8,1.8,4.4,,148,No Different Than the National Rate,5,3.3,7.4,,153,No Different than expected,1.4,0.8,2.2,
SUNRISE AMBULATORY SURGICAL CENTER,03C0001248,1750352324,LAKESIDE,AZ,85929,2024,0.000,,0.000,,0.000,,0.046,,100.00,,,5,,Number of Cases Too Small,,,,1,99.00,,,5,750,Worse Than the National Rate,3.9,3,5.1,,,,,,,5,33,No Different than expected,0.9,0.5,1.8,
YORK ADAMS PAIN SPECIALISTS PC,39C0001161,1750356085,HANOVER,PA,17331,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,,,,,,5
CENTER FOR DIGESTIVE HEALTH LTD,52C0001025,1750358453,MILWAUKEE,WI,53215,2024,0.000,,0.000,,0.000,,0.059,,90.43,,,5,572,No Different Than the National Rate,9.4,6.7,12.8,,,5,,5,,,,,,5,,,,,,5,,,,,,5
EYEHEALTH EASTSIDE SURGERY CENTER LLC,38C0001059,1750362869,HAPPY VALLEY,OR,97086,2024,,5,,5,,5,,5,,5,98.47,,,,,,,5,,5,0.059,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
BARKLEY SURGICENTER INC,10C0001192,1750363461,FORT MYERS,FL,33907,2024,,5,,5,,5,0.128,,90.15,,,5,3373,No Different Than the National Rate,9.6,7.7,12.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
BOYTON BEACH AMBULATORY SURGERY CENTER,10C0001102,1750364634,BOYTON BEACH,FL,33437,2024,0.000,,0.069,,0.000,,0.137,,,5,,5,,,,,,5,0.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
ST PETERS AMBULATORY SURGERY CENTER LLC,33C0001064,1750376836,ALBANY,NY,12206,2024,0.000,,0.009,,0.000,,0.080,,81.72,,,5,5039,No Different Than the National Rate,8.7,7,10.8,,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
BRAINERD LAKES SURGERY CENTER L L C,24C0001046,1750378295,BAXTER,MN,56425,2024,0.024,,0.000,,0.000,,0.145,,,5,,5,,,,,,5,98.37,,0.598,,244,No Different Than the National Rate,2.4,1.6,3.7,,,Number of Cases Too Small,,,,1,41,No Different than expected,0.9,0.5,1.7,
EYE SURGERY CENTER OF SAINT AUGUSTINE INC,10C0001416,1750383295,ST AUGUSTINE,FL,32084,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.153,,,,,,,5,,,,,,5,,,,,,5
PALOUSE SURGERY CENTER LLC,13C0001051,1750386256,MOSCOW,ID,83843,2024,,5,,5,,5,,5,98.22,,,5,334,No Different Than the National Rate,10,7.2,13.7,,100.00,,0.242,,78,No Different Than the National Rate,2.4,1.5,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
NOVAMED EYE SURGERY CENTER OF COLORADO SPRINGS DBA PREMIER SURGERY CENTER,06C0001051,1750386322,COLORADO SPRINGS,CO,80907,2024,0.021,,0.000,,0.000,,0.042,,,5,,5,,,,,,5,0.00,,0.094,,,,,,,5,,Number of Cases Too Small,,,,1,39,No Different than expected,1.1,0.6,2,
OXFORD EYE SURGERY CENTER LP,25C0001014,1750390548,OXFORD,MS,38655,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,0.575,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
INTERVENTIONAL SPINE AND PAIN MANAGEMENT AMBULATORY SURGICAL CENTER,11C0001291,1750420147,CONYERS,GA,30012,2024,0.000,,0.030,,0.000,,0.061,,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
FLORIDA MEDICAL CLINIC PA,10C0001413,1750456539,TAMPA,FL,33613,2024,0.000,,0.008,,0.000,,0.066,,97.92,,,5,2994,No Different Than the National Rate,9.6,7.5,12.4,,95.96,,0.092,,,Number of Cases Too Small,,,,1,113,No Different Than the National Rate,6,3.9,8.9,,34,No Different than expected,0.9,0.5,1.7,
TEXAS EYE SURGERY CENTER LLC,45C0001459,1750468583,HURST,TX,76054,2024,,5,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.086,,,,,,,5,,,,,,5,,,,,,5
ORTHOPEDIC SURGERY CENTER LLC,19C0001106,1750469789,BATON ROUGE,LA,70808,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,296,No Different Than the National Rate,2.5,1.6,3.7,,,,,,,5,,Number of Cases Too Small,,,,1
EVANSVILLE SURGERY CENTER GATEWAY CAMPUS,15C0001106,1750470530,NEWBURGH,IN,47630,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,304,No Different Than the National Rate,2.5,1.6,3.8,,42,No Different Than the National Rate,5.2,3.3,8.1,,132,No Different than expected,0.9,0.5,1.5,
LONGVIEW SURGICAL CENTER LLC,50C0001262,1750481453,LONGVIEW,WA,98632,2024,,5,,5,,5,,5,,5,,5,,Number of Cases Too Small,,,,1,,5,,5,301,No Different Than the National Rate,2.4,1.6,3.6,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
